date,pollution,RH,AT,BP,WD,WS,snow,rain,PM10,NO,NO2,NH3,CO
2017-07-15,18.88,78.16,35.44,757.49,101.07,2.43,60.34,2.08,6.79,5.3,0.0,0.58,16.02
2017-07-16,19.57,79.82,35.1,756.5,114.58,2.04,43.58,2.05,5.43,4.56,0.0,0.51,15.55
2017-07-17,18.98,79.24,35.48,755.25,93.15,2.59,51.97,1.98,5.96,4.77,0.0,0.46,14.91
2017-07-18,16.82,80.91,35.47,755.81,84.16,2.29,54.01,1.97,5.51,4.53,0.0,0.56,14.12
2017-07-19,14.66,81.8,34.87,756.03,144.96,1.8,38.28,1.98,4.62,4.05,0.0,0.46,14.05
2017-07-20,13.05,82.66,33.97,755.21,152.97,1.94,35.29,1.93,4.14,3.72,0.0,0.64,12.29
2017-07-21,7.24,79.33,32.38,756.37,120.61,1.86,22.56,1.96,4.17,3.78,0.0,0.47,14.27
2017-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,5.92,72.92,33.89,754.1,93.62,3.41,59.5,1.97,7.71,5.71,0.0,0.81,17.12
2017-07-25,16.93,73.84,33.5,752.83,128.47,2.71,57.12,2.09,6.23,5.01,0.0,0.64,17.3
2017-07-26,23.87,73.78,33.79,754.06,85.91,3.65,66.83,1.75,8.34,5.85,0.0,0.71,15.53
2017-07-27,20.4,76.45,32.84,755.15,126.38,2.49,47.77,1.83,6.53,4.94,0.0,0.62,14.78
2017-07-28,14.92,77.44,32.51,755.6,115.18,2.87,36.74,1.94,6.62,5.11,0.0,0.57,17.59
2017-07-29,15.22,75.98,32.69,755.85,138.08,2.62,33.03,2.04,5.18,4.41,0.0,0.54,19.47
2017-07-30,24.33,75.89,32.9,754.34,120.76,2.57,55.16,2.05,2.79,3.11,0.0,0.55,18.55
2017-07-31,22.96,78.14,32.77,754.62,103.06,2.32,53.4,2.02,6.67,5.18,0.0,0.75,12.93
2017-08-01,18.05,78.27,32.56,755.32,112.9,2.75,41.48,2.15,4.43,4.1,0.0,0.74,17.13
2017-08-02,15.08,78.86,32.81,756.6,98.03,2.85,46.59,1.9,7.68,5.62,0.0,1.0,14.01
2017-08-03,14.97,79.18,32.49,755.96,126.31,2.43,38.24,1.88,5.78,4.6,0.0,0.97,14.71
2017-08-04,13.09,82.22,31.98,753.26,124.29,2.27,31.39,1.85,7.25,5.35,0.0,0.95,13.71
2017-08-05,10.73,83.44,32.09,752.53,113.32,2.42,29.24,1.94,6.62,5.08,0.0,0.9,14.91
2017-08-06,13.74,82.41,32.29,751.43,94.95,2.34,35.21,1.99,5.31,4.44,0.0,0.9,16.75
2017-08-07,20.43,83.36,32.42,752.2,88.71,1.94,49.41,1.81,8.94,6.2,0.0,0.96,15.71
2017-08-08,13.92,81.32,32.4,753.02,96.11,2.54,32.27,1.78,6.6,4.93,0.0,0.99,18.58
2017-08-09,19.54,83.3,32.37,753.73,83.02,2.44,41.31,1.88,7.69,5.59,0.0,1.01,16.48
2017-08-10,18.39,81.97,32.4,753.74,86.36,2.24,41.27,1.75,7.62,5.46,0.0,1.03,17.88
2017-08-11,11.09,80.42,32.2,756.25,78.06,3.04,30.27,1.91,6.09,4.76,0.0,0.99,18.54
2017-08-12,21.74,77.28,32.71,755.66,91.22,2.53,45.47,2.01,7.35,5.54,0.0,0.97,22.91
2017-08-13,31.6,80.69,32.71,755.74,93.6,2.3,67.81,1.99,5.91,4.76,0.0,0.93,21.46
2017-08-14,31.41,81.26,32.77,756.92,84.07,2.21,72.45,1.97,7.83,5.76,0.0,0.97,4.88
2017-08-15,25.67,81.85,32.85,756.43,91.82,1.92,60.89,1.73,6.45,4.84,0.0,0.91,5.91
2017-08-16,21.1,79.67,32.85,755.29,83.27,1.76,44.4,1.78,6.02,4.63,0.0,0.94,9.78
2017-08-17,21.72,77.42,33.08,752.67,44.02,1.76,46.61,1.83,7.1,5.25,0.0,0.98,17.16
2017-08-18,13.0,84.29,32.19,751.92,76.02,1.51,27.59,1.87,5.88,4.58,0.0,0.9,16.31
2017-08-19,13.02,82.98,30.71,752.51,40.04,2.36,38.6,1.9,6.59,5.03,0.0,0.93,12.35
2017-08-20,12.67,84.05,30.21,752.68,60.84,1.95,34.74,1.88,5.79,4.61,0.0,0.9,16.68
2017-08-21,10.4,83.39,30.14,752.24,76.51,1.9,26.41,1.61,6.14,4.55,0.0,0.94,16.54
2017-08-22,10.41,79.47,30.27,752.04,107.18,2.36,23.0,1.97,4.6,4.01,0.0,0.88,12.15
2017-08-23,18.07,77.78,30.95,752.43,97.02,2.55,45.02,1.88,6.25,4.83,0.0,0.94,3.96
2017-08-24,23.94,80.54,30.93,752.45,96.96,2.39,63.33,1.89,6.64,5.08,0.0,1.02,15.48
2017-08-25,19.81,80.69,31.02,751.93,83.02,2.57,53.97,1.9,5.74,4.59,0.0,1.03,6.38
2017-08-26,13.54,82.56,30.88,751.0,83.21,2.56,51.79,1.99,4.64,4.06,0.0,0.96,3.23
2017-08-27,8.61,82.97,30.68,751.12,70.85,2.54,31.47,2.06,4.5,4.08,0.0,0.92,1.38
2017-08-28,9.28,85.42,29.87,751.03,72.58,2.08,25.48,1.85,6.55,4.97,0.0,1.0,0.92
2017-08-29,8.94,84.71,29.81,752.62,92.62,1.81,21.91,1.87,6.75,5.07,0.0,0.94,2.39
2017-08-30,12.77,80.91,30.72,753.34,105.82,2.13,35.53,1.76,7.5,5.38,0.0,0.92,3.29
2017-08-31,18.19,80.88,30.92,754.29,99.59,2.48,48.83,1.91,6.56,5.04,0.0,0.98,6.21
2017-09-01,19.09,81.46,30.83,754.9,118.51,2.21,52.18,1.98,3.97,3.73,0.0,0.91,7.67
2017-09-02,13.6,77.86,30.46,754.08,135.17,2.11,19.12,1.84,5.36,4.33,0.0,0.99,7.61
2017-09-03,16.69,82.58,29.91,755.2,98.82,2.12,35.34,2.03,5.38,4.51,0.0,0.95,7.61
2017-09-04,20.46,81.64,30.87,755.02,85.6,2.21,49.65,2.03,3.47,3.48,0.0,0.88,7.71
2017-09-05,17.95,82.61,30.61,755.26,81.74,2.15,44.35,2.01,4.1,3.8,0.0,0.92,7.61
2017-09-06,8.18,80.06,30.73,754.0,74.91,2.39,20.53,1.96,3.35,3.33,0.0,0.85,7.61
2017-09-07,15.76,84.33,30.02,752.96,72.97,1.58,35.84,1.61,8.02,5.48,0.0,0.99,7.76
2017-09-08,11.34,83.92,30.04,752.83,160.54,1.27,28.58,1.84,5.8,4.56,0.0,1.03,7.7
2017-09-09,12.85,83.77,29.97,752.98,97.25,1.35,27.58,1.91,6.18,4.83,0.0,0.93,7.72
2017-09-10,10.68,79.5,30.75,751.33,152.42,1.5,25.11,1.97,3.79,3.62,0.0,0.94,7.67
2017-09-11,12.15,78.8,30.96,751.96,174.91,1.78,28.3,2.03,4.95,4.29,0.0,1.03,7.67
2017-09-12,8.59,77.33,31.27,753.17,188.69,2.13,23.23,1.99,3.91,3.69,0.0,0.95,7.62
2017-09-13,7.51,84.15,30.2,755.74,145.84,1.82,21.0,1.72,5.79,4.45,0.0,0.94,7.63
2017-09-14,9.5,81.92,30.23,757.41,158.43,1.35,22.2,1.87,5.3,4.32,0.0,0.94,7.7
2017-09-15,16.02,78.83,30.8,755.36,116.67,1.45,37.99,1.93,6.74,5.11,0.0,0.99,7.56
2017-09-16,11.21,82.19,30.68,756.39,99.97,1.96,33.58,2.01,4.78,4.12,0.0,1.07,7.68
2017-09-17,9.15,89.4,28.91,760.22,133.14,1.06,21.14,1.95,4.67,4.05,0.0,0.91,7.62
2017-09-18,10.28,82.23,30.52,759.92,99.22,1.86,31.12,1.97,5.53,4.49,0.0,0.97,7.7
2017-09-19,10.58,80.96,30.94,757.97,36.04,2.59,37.03,1.97,3.61,3.51,0.0,0.96,7.63
2017-09-20,4.54,80.38,30.41,756.6,45.23,2.15,27.51,1.88,4.76,4.04,0.0,0.95,7.74
2017-09-21,10.99,80.81,30.09,755.5,82.52,2.01,31.28,2.08,4.76,4.22,0.0,0.93,7.62
2017-09-22,18.44,76.07,30.6,755.02,104.88,2.11,45.51,1.88,7.24,5.36,0.0,0.97,7.78
2017-09-23,21.69,76.41,30.71,755.99,126.04,2.16,49.01,1.95,5.76,4.64,0.0,0.93,6.97
2017-09-24,17.83,75.95,30.97,756.21,100.33,1.86,43.85,1.93,5.4,4.44,0.0,0.92,7.56
2017-09-25,13.64,77.83,30.67,754.26,141.21,1.98,52.87,2.0,7.15,5.43,0.0,1.09,7.66
2017-09-26,19.7,78.1,30.71,753.61,134.55,1.82,45.28,2.13,8.74,6.35,3.0,1.02,7.69
2017-09-27,13.27,80.0,30.36,754.77,103.68,1.8,27.91,2.42,5.93,5.12,2.8,0.97,7.7
2017-09-28,14.45,85.58,29.22,756.82,130.83,1.2,27.03,2.11,8.72,6.33,2.49,1.17,7.52
2017-09-29,11.05,82.78,29.99,755.14,117.24,1.62,28.9,1.97,6.17,4.87,2.38,0.96,7.6
2017-09-30,10.41,80.51,30.48,755.91,85.19,1.51,23.84,1.88,4.43,3.86,2.22,0.96,7.58
2017-10-01,2.79,80.73,8.18,756.53,25.75,1.79,6.11,0.53,0.77,0.84,2.22,0.2,2.06
2017-10-02,0.65,78.71,5.66,754.42,26.69,1.56,3.5,0.29,0.5,0.48,2.23,0.16,1.43
2017-10-03,2.25,77.68,4.53,754.06,13.33,1.55,5.12,0.2,1.26,0.83,2.53,0.16,1.05
2017-10-04,3.52,78.55,4.53,753.64,19.99,1.63,6.42,0.24,1.47,0.97,2.84,0.18,1.14
2017-10-05,5.27,80.05,5.66,751.49,4.65,1.58,8.96,0.4,1.61,1.18,3.14,0.19,1.41
2017-10-06,1.25,83.54,3.7,752.51,0.0,1.47,3.25,0.28,0.86,0.68,2.7,0.14,1.0
2017-10-07,4.77,79.6,7.7,751.93,0.0,1.47,9.15,0.44,2.25,1.56,2.68,0.25,1.89
2017-10-08,7.65,78.76,6.42,751.97,0.0,1.67,13.94,0.38,1.26,0.99,3.07,0.19,1.59
2017-10-09,9.88,77.32,9.15,751.6,0.0,1.7,21.1,0.44,2.7,1.8,3.15,0.3,2.22
2017-10-10,0.0,75.04,0.0,750.2,0.0,1.67,0.0,0.0,0.0,0.0,3.21,0.0,0.0
2017-10-11,0.0,77.07,0.0,751.15,0.0,1.7,0.0,0.0,0.0,0.0,2.85,0.0,0.0
2017-10-12,0.0,86.17,0.0,753.34,0.0,1.01,0.0,0.0,0.0,0.0,2.4,0.0,0.0
2017-10-13,0.0,83.08,0.0,752.59,0.0,1.35,0.0,0.0,0.0,0.0,2.51,0.0,0.0
2017-10-14,0.0,88.01,0.0,753.85,0.0,0.78,0.0,0.0,0.0,0.0,1.76,0.0,0.0
2017-10-15,0.0,82.3,0.0,755.38,0.0,1.42,0.0,0.0,0.0,0.0,2.28,0.0,0.0
2017-10-16,0.0,80.7,0.0,755.46,0.0,1.83,0.0,0.0,0.0,0.0,2.8,0.0,0.0
2017-10-17,0.0,80.68,0.0,754.06,0.0,1.69,0.0,0.0,0.0,0.0,2.55,0.0,0.0
2017-10-18,0.0,79.16,0.0,753.86,0.0,1.41,0.0,0.0,0.0,0.0,2.39,0.0,0.0
2017-10-19,9.0,60.94,47.36,550.24,161.05,0.66,16.71,0.84,4.56,3.01,2.35,0.47,3.7
2017-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0
2017-10-21,0.94,6.47,10.3,63.22,28.11,0.22,3.09,0.2,0.82,0.6,2.74,0.12,0.81
2017-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0
